num,link,date,likes,dislikes,text
13,https://www.anekdot.ru/id/1239627/,20.08.2021,928,82,У нас знание гражданином своих законных прав воспринимается чиновниками и полицией как проявление борзости.
4,https://www.anekdot.ru/id/1135597/,20.08.2020,922,120,"- Мужики, а на каком свидании уже можно говорить девушке, что есть жена?"
15,https://www.anekdot.ru/id/1039163/,20.08.2019,831,146,"Тётя: ""Мой муж забрал все деньги, чтобы купить машину, и бросил меня с пятью детьми"".Соседка: ""Мою подругу избил муж и выбил ей все зубы"".Крестная: ""Мой свёкр пропил телевизор, а потом избил свекровь за то, что позволила"".Все, обращаясь ко мне: ""А ты когда выйдешь замуж?!"""
15,https://www.anekdot.ru/id/965682/,20.08.2018,877,169,"Где-то в Краснодарском крае женщина-судья, свадьбу дочери которой, где пели Басков, Меладзе, Кобзон и Брежнева обсуждала вся страна, вдруг замерла у телевизора и прошептала: ""Боже, и так можно было ???"""
11,https://www.anekdot.ru/id/902424/,20.08.2017,1367,324,"Прилетели инопланетяне на нашу Землю, сначала кругом облетали её, посмотрели что и как, а потом решили с народом Земли пообщаться, спрашивают: - А почему у вас так много кругом мусора и помоек? - Это потому что нам денег не хватает на строительство мусороперерабатывающих заводов.- А почему у вас так много голодных и бездомных? - Это потому что нам денег не хватает, чтобы их накормить и построить им дома.- А почему вы постоянно друг с другом воюете? - Это потому что у нас денег не хватает, и мы пытаемся отнять их у других. ... инопланетяне почесали свои ""репы"" и спрашивают: - Вот мы летаем между галактиками, исследовали множество миров и планет, но ни разу не встречали такой редкий и оказывается очень нужный ресурс как деньги, не могли бы вы нам показать как он выглядит, и вообще покажите где вы его добываете в космосе, мы тогда постараемся слетать за ним, привести вам побольше этих денег и помочь вам наладить гармонию на вашей планете. - А мы за деньгами никуда не летаем, - отвечают земляне, - мы их сами печатаем. - Сами? - переспросили инопланетяне.- Да.... после этого ответа землян вычеркнули из списка разумных существ..."
1,https://www.anekdot.ru/id/842214/,20.08.2016,723,91,На предложение Медведева менять призвание на деньги первым откликнулся главный педагог России Ливанов.
16,https://www.anekdot.ru/id/777737/,20.08.2015,983,63,"Только соберешься разбогатеть — то за квартиру платить надо, то туфли порвутся."
22,https://www.anekdot.ru/id/714563/,20.08.2014,1811,107,"Уровень мышления наших депутатов таков, что если депутат во вторник поскользнётся и сломает руку, то он будет бороться не с гололёдом, а со вторниками."
20,https://www.anekdot.ru/id/652426/,20.08.2013,820,84,"Приходит уставший муж домой: - Дорогая, что ты мне сегодня приготовила?Поправив передник, жена залезла на табурет: - Песню!"
10,https://www.anekdot.ru/id/596011/,20.08.2012,975,67,"Купил курс ""АНГЛИЙСКИЙ ВО СНЕ"". Целый год ставил перед сном кассету. Результат несколько неожиданный: при звуках английской речи мгновенно засыпаю."
29,https://www.anekdot.ru/id/525957/,20.08.2011,1403,85,Футбольный арбитр в спешке вместо карточки показал игроку презерватив.До конца матча больше никто не рискнул нарушить правила.
1,https://www.anekdot.ru/id/464841/,20.08.2010,949,112,Каникулы в Думе заканчиваются. Отдохнувшие депутаты возвращаются кбезделью.
2,https://www.anekdot.ru/id/410485/,20.08.2009,935,149,"- Я думаю, в данном вопросе тебе надо идти до конца!- Давненько меня так изящно на х..й не посылали..."
